F	2000025c	gte_CompMatrix	__gtemacro	void gte_CompMatrix(MATRIX * r0, MATRIX * r1, MATRIX * r2)
F	20000260	gte_ApplyRotMatrix	__gtemacro	void gte_ApplyRotMatrix(SVECTOR * r0, VECTOR * r1)
F	80011e64	__main	unknown	undefined __main(void)
F	80011e6c	start	unknown	undefined start(void)
F	80011e90	stup1	unknown	undefined stup1(void)
F	80011f0c	stup0	unknown	undefined stup0(void)
F	80011f18	2MBYTE_OBJ_B4	unknown	undefined 2MBYTE_OBJ_B4(void)
F	80011f28	main	unknown	undefined main(void)
F	80016ed8	_bu_init	unknown	undefined _bu_init(void)
F	80016ee8	_card_info	unknown	undefined _card_info(void)
F	80016ef8	_card_load	unknown	undefined _card_load(void)
F	80016f08	_card_write	unknown	undefined _card_write(void)
F	80016f18	_new_card	unknown	undefined _new_card(void)
F	80016fe4	InitCARD2	unknown	undefined InitCARD2(void)
F	80016ff4	StartCARD2	unknown	undefined StartCARD2(void)
F	80017004	StopCARD2	unknown	undefined StopCARD2(void)
F	80017028	PATCH_OBJ_14	unknown	undefined PATCH_OBJ_14(void)
F	8001706c	_patch_card	unknown	undefined _patch_card(void)
F	80017108	PATCH_OBJ_F4	unknown	undefined PATCH_OBJ_F4(void)
F	80017124	_patch_card2	unknown	undefined _patch_card2(void)
F	80017234	StSetRing	__stdcall	void StSetRing(u_long * ring_addr, u_long ring_size)
F	80017264	CdInit	unknown	int CdInit(void)
F	800172e0	EVENT_OBJ_7C	unknown	undefined EVENT_OBJ_7C(void)
F	800172f4	def_cbsync	unknown	undefined def_cbsync(void)
F	8001731c	def_cbready	unknown	undefined def_cbready(void)
F	80017344	def_cbread	unknown	undefined def_cbread(void)
F	8001736c	CdStatus	unknown	int CdStatus(void)
F	8001737c	CdMode	unknown	int CdMode(void)
F	8001738c	CdLastCom	unknown	int CdLastCom(void)
F	8001739c	CdLastPos	unknown	CdlLOC * CdLastPos(void)
F	800173ac	CdReset	__stdcall	int CdReset(int mode)
